d,iid
813,424
814,169
815,292
816,24
817,150
818,47
819,425
820,27
821,214
822,317
823,426
824,427
825,166
826,300
827,428
828,140
829,429
830,33
831,430
832,161
833,431
834,34
835,36
836,36
837,164
838,146
839,114
840,406
841,432

